KECAMATAN,luas_komersil,luas_lainnya,luas_residensial,luas_sosbud,area_kecamatan,jumlah_halte,luas_halte_700_m,luas_halte_1_km,persen_komersil,persen_lainnya,persen_residensial,persen_sosbud
CAKUNG,7967849,15238298,13422717,948994,37577858,78,20069186,26815217,21.20%,40.55%,35.72%,2.53%
CEMPAKA PUTIH,611933,588992,2669650,245744,4116319,16,3703358,4442986,14.87%,14.31%,64.86%,5.97%
CENGKARENG,1753727,9052902,10708875,801516,22317020,43,13666731,18181747,7.86%,40.57%,47.99%,3.59%
CILANDAK,924597,4373318,9494643,1390136,16182694,68,11186596,14592531,5.71%,27.02%,58.67%,8.59%
CILINCING,4975293,23139274,8622564,753926,37491057,21,6598616,10857826,13.27%,61.72%,23.00%,2.01%
CIPAYUNG,351592,10263880,11945909,3710211,26271593,11,4723627,7043096,1.34%,39.07%,45.47%,14.12%
CIRACAS,1609061,3761090,9436409,778472,15585033,52,3977192,5310094,10.32%,24.13%,60.55%,5.00%
DUREN SAWIT,1374679,4395244,12509181,1075264,19354368,117,16962024,20195088,7.10%,22.71%,64.63%,5.56%
GAMBIR,1404553,2784977,1606893,402590,6199014,126,7406194,7508915,22.66%,44.93%,25.92%,6.49%
GROGOL PETAMBURAN,1007101,1632513,5745244,538272,8923129,60,7698260,8963773,11.29%,18.30%,64.39%,6.03%
JAGAKARSA,535448,6935404,14380524,1538176,23389553,124,14677800,17807062,2.29%,29.65%,61.48%,6.58%
JATINEGARA,736211,1636822,6195209,501337,9069579,95,10019363,10348393,8.12%,18.05%,68.31%,5.53%
JOHAR BARU,124043,307373,1630716,87620,2149751,3,1215053,2068531,5.77%,14.30%,75.86%,4.08%
KALI DERES,3628747,11184157,10871695,763995,26448595,6,2703668,4319414,13.72%,42.29%,41.11%,2.89%
KEBAYORAN BARU,1244276,2350409,6441774,913807,10950266,171,11916771,12664813,11.36%,21.46%,58.83%,8.35%
KEBAYORAN LAMA,1635209,3129568,10901086,1156563,16822426,147,15000262,18249556,9.72%,18.60%,64.80%,6.88%
KEBON JERUK,1511018,2485534,10596088,739963,15332603,33,13034301,15924031,9.85%,16.21%,69.11%,4.83%
KELAPA GADING,2491536,3746000,6478389,552650,13268575,5,4688244,7035842,18.78%,28.23%,48.83%,4.17%
KEMAYORAN,1091290,985640,3952872,251796,6281599,46,6188206,7185969,17.37%,15.69%,62.93%,4.01%
KEMBANGAN,1276938,7584582,11987159,809764,21658443,65,13020022,17083527,5.90%,35.02%,55.35%,3.74%
KOJA,1762017,2382582,5341295,490385,9976279,6,2109933,3617037,17.66%,23.88%,53.54%,4.92%
KRAMAT JATI,805873,2352388,8151571,555582,11865414,57,9119401,11082500,6.79%,19.83%,68.70%,4.68%
MAKASAR,488968,7838365,6509570,5139346,19976249,38,9333217,13087034,2.45%,39.24%,32.59%,25.73%
MAMPANG PRAPATAN,972415,1103363,4936832,304854,7317465,78,7224302,7945922,13.29%,15.08%,67.47%,4.17%
MATRAMAN,425344,563231,3018778,337397,4344751,32,4401768,4858828,9.79%,12.96%,69.48%,7.77%
MENTENG,751138,1108068,3303717,408656,5571579,115,6473875,6473875,13.48%,19.89%,59.30%,7.33%
PADEMANGAN,1938151,3392442,3100229,1429715,9860537,13,5328523,8680721,19.66%,34.40%,31.44%,14.50%
PALMERAH,667149,891946,4587961,350079,6497135,16,5844665,7337962,10.27%,13.73%,70.62%,5.39%
PANCORAN,705224,1609746,5211560,420752,7947283,94,8344031,8863567,8.87%,20.26%,65.58%,5.29%
PASAR MINGGU,1232109,4599387,11489203,2534737,19855436,168,16941730,20740154,6.21%,23.16%,57.86%,12.77%
PASAR REBO,804741,3351460,6754201,527465,11437867,4,2078909,3393385,7.04%,29.30%,59.05%,4.61%
PENJARINGAN,5261224,13058581,9992219,1868040,30180064,73,17566011,22838449,17.43%,43.27%,33.11%,6.19%
PESANGGRAHAN,469284,3154622,7691247,639333,11954486,102,11739132,13393556,3.93%,26.39%,64.34%,5.35%
PULO GADUNG,1055431,3032355,7400792,1683484,13172062,52,11330338,14163005,8.01%,23.02%,56.19%,12.78%
SAWAH BESAR,1073210,1221128,1878552,313455,4486344,31,4334317,5682760,23.92%,27.22%,41.87%,6.99%
SENEN,688749,872786,1836458,365931,3763924,77,4350409,4350701,18.30%,23.19%,48.79%,9.72%
SETIA BUDI,1634791,2269963,3423444,378709,7706907,153,8885993,8938286,21.21%,29.45%,44.42%,4.91%
TAMAN SARI,1030396,633153,1932866,223379,3819794,21,3600813,4425585,26.98%,16.58%,50.60%,5.85%
TAMBORA,724068,720708,3091393,127872,4664041,11,2926462,4602439,15.52%,15.45%,66.28%,2.74%
TANAH ABANG,1757222,3170564,2706956,868200,8502942,212,9963875,10047902,20.67%,37.29%,31.84%,10.21%
TANJUNG PRIOK,5141084,5013294,8622115,539152,19315644,57,12993376,18284580,26.62%,25.95%,44.64%,2.79%
TEBET,719613,1398656,5548371,452787,8119428,77,8618192,9328009,8.86%,17.23%,68.33%,5.58%